border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.424951171875,20480,,,,,4,MSD,pancreas_375,216
0.19169921875,20480,,,,,4,MSD,pancreas_197,40
0.25576171875,20480,,,,,4,MSD,pancreas_411,185
0.18447265625,20480,,,,,4,MSD,pancreas_087,44
0.1806640625,20480,0.0,0.0,0.012890625,0.0,4,MSD,pancreas_374,137
0.4115234375,20480,,,,,4,MSD,pancreas_040,197
0.15517578125,20480,,,,,4,MSD,pancreas_120,379
0.214208984375,20480,,,,,4,MSD,pancreas_365,248
0.45654296875,20480,,,,,4,MSD,pancreas_198,12
0.092041015625,20480,,,,,4,MSD,pancreas_299,23
0.2638671875,20480,,,,,4,MSD,pancreas_275,38
0.2125,20480,,,,,4,MSD,pancreas_145,167
0.06015625,20480,,,,,4,MSD,pancreas_087,349
0.36,102400,,,,,0,NIH,nih_00029,28
0.263818359375,20480,,,,,0,NIH,nih_00009,43
0.36,102400,,,,,0,NIH,nih_00006,304
0.2521484375,20480,,,,,0,NIH,nih_00020,140
0.253564453125,20480,,,,,0,NIH,nih_00020,104
0.137255859375,20480,,,,,0,NIH,nih_00039,130
0.634716796875,20480,,,,,0,NIH,nih_00037,196
0.36,102400,,,,,0,NIH,nih_00062,234
0.2687857038230555,20481,,,,,0,NIH,nih_00016,151
0.455810546875,20480,,,,,0,NIH,nih_00063,99
0.21103515625,20480,,,,,0,NIH,nih_00020,7
0.223388671875,20480,,,,,0,NIH,nih_00027,49
0.128759765625,20480,,,,,0,NIH,nih_00006,112
0.12348029881353449,20481,,,,,0,NIH,nih_00068,138
0.191796875,20480,,,,,0,NIH,nih_00027,124
0.39755859375,20480,,,,,0,NIH,nih_00037,85
0.328076171875,20480,,,,,0,NIH,nih_00037,100
0.3194518425257857,20651,,,,,0,NIH,nih_00010,63
0.20038084077925883,20481,,,,,0,NIH,nih_00029,144
0.36,102400,,,,,0,NIH,nih_00061,294
0.6192266380236305,20482,,,,,1,NIH,nih_00032,163
0.36,102400,,,,,1,NIH,nih_00041,91
0.36,102400,,,,,1,NIH,nih_00007,6
0.36,102400,,,,,1,NIH,nih_00077,145
0.36,102400,,,,,1,NIH,nih_00052,116
0.36,102400,,,,,1,NIH,nih_00023,60
0.36,102400,,,,,1,NIH,nih_00023,14
0.36,102400,,,,,1,NIH,nih_00060,123
0.36,102400,,,,,1,NIH,nih_00015,299
0.200390625,20480,,,,,1,NIH,nih_00065,247
0.35365913196309134,20483,,,,,1,NIH,nih_00041,203
0.182470703125,20480,,,,,1,NIH,nih_00077,1
0.3392578125,20480,,,,,1,NIH,nih_00047,76
0.4083675063464167,20484,,,,,1,NIH,nih_00004,32
0.4333544828932598,20489,,,,,1,NIH,nih_00077,164
0.36,102400,,,,,1,NIH,nih_00038,76
0.17275390625,20480,,,,,1,NIH,nih_00065,248
0.302099609375,20480,,,,,1,NIH,nih_00047,71
0.36,102400,,,,,1,NIH,nih_00065,12
0.36,102400,,,,,1,NIH,nih_00067,8
0.36,102400,,,,,2,NIH,nih_00079,79
0.3904296875,20480,,,,,2,NIH,nih_00079,213
0.324560546875,20480,,,,,2,NIH,nih_00045,183
0.36,102400,,,,,2,NIH,nih_00079,228
0.25625,20480,,,,,2,NIH,nih_00026,207
0.0875,20480,,,,,2,NIH,nih_00049,102
0.4625,20480,,,,,2,NIH,nih_00003,184
0.275390625,20480,,,,,2,NIH,nih_00045,39
0.36,102400,,,,,2,NIH,nih_00066,168
0.36,102400,,,,,2,NIH,nih_00079,236
0.0943359375,20480,,,,,2,NIH,nih_00066,157
0.36,102400,,,,,2,NIH,nih_00026,222
0.24957289988773368,20487,,,,,2,NIH,nih_00040,188
0.3450009763718024,20484,,,,,2,NIH,nih_00049,221
0.168505859375,20480,,,,,2,NIH,nih_00080,122
0.36,102400,,,,,2,NIH,nih_00033,86
